'2021-03-14', '6.4.2', '10x0:20/0:15r-3:00r-6x1:30/1:00r', 'Hybrid', 'Hybrid', 'Rower', '3.6km', '0:12:20', '0:11:15', '277'
'2021-03-15', '6.4.3', 'Bike 45:00', 'Hybrid', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '701'
'2021-03-17', '6.4.4', '??x1:00/0:30r - row 14cals+1cal', 'Hybrid', 'Ascending', 'Rower', '3.2km', '0:12:00', '0:06:00', '239'
'2021-03-21', '6.4.5', '8x0:30/1:00r-2:00r-10x1:30/0:15r', 'Hybrid', 'Hybrid', 'Rower', '5.2km', '0:19:00', '0:11:30', '386'
'2021-03-23', '7.1.1', 'Erg 10:00 TT', 'Devour', 'Time Trial', 'Rower', '2.8km', '0:10:00', '0:00:00', '203'
'2021-03-24', '7.1.2', '8x0:30+0:30/0:30r TT-1', 'Devour', 'Devour', 'Rower', '4.5km', '0:18:00', '0:04:00', '336'
'2021-03-26', '7.1.3', 'Bike 45:00', 'Devour', 'Endurance', 'BikeErg', '22.2km', '0:45:00', '0:00:00', '723'
'2021-03-27', '7.1.4', '4x4:00/2:00r', 'Devour', 'Intervals', 'Rower', '4.3km', '0:16:00', '0:08:00', '309'
'2021-03-30', '7.1.5', '12x0:15+0:15/0:30r TT+2', 'Devour', 'Devour', 'Rower', '4.6km', '0:19:30', '0:06:00', '295'
'2021-04-02', '7.2.1', '5x1:00+1:00/0:30r TT', 'Devour', 'Devour', 'Rower', '4.0km', '0:15:00', '0:02:30', '290'
'2021-04-03', '7.2.3', 'Bike 40:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '20.1km', '0:40:00', '0:00:00', '544'
'2021-04-04', '7.2.2', '10x2:00/1:00r', 'Devour', 'Intervals', 'Rower', '5.5km', '0:20:00', '0:10:00', '403'
'2021-04-05', '7.2.5', '6x2:30/1:30+20%', 'Devour', 'Flux', 'AirDyne', '13.0km', '0:24:00', '0:00:00', '352'
'2021-04-07', '7.2.4', '12x0:20+0:20/0:20r TT+2', 'Devour', 'Devour', 'Rower', '4.8km', '0:26:00', '0:04:00', '483'
'2021-04-08', '7.3.1', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '15.1km', '0:30:00', '0:00:00', '417'
'2021-04-09', '7.3.2', '4x2:00+2:00/1:00r TT+1', 'Devour', 'Devour', 'Rower', '5.3km', '0:20:00', '0:04:00', '381'
'2021-04-10', '7.3.3', 'Bike 45:00', 'Devour', 'Endurance', 'BikeErg', '21.9km', '0:45:00', '0:00:00', '707'
'2021-04-13', '7.3.4', '6x3:00/1:00r', 'Devour', 'Intervals', 'Rower', '4.8km', '0:18:00', '0:06:00', '355'
'2021-04-14', '7.3.5', '8x0:30+0:30/0:30r TT+1', 'Devour', 'Devour', 'Rower', '4.8km', '0:18:00', '0:04:00', '345'
'2021-04-15', '7.4.5', '12x1:30/0:30+25%', 'Devour', 'Flux', 'AirDyne', '12.9km', '0:24:00', '0:00:00', '349'
'2021-04-16', '7.4.1', '6x0:30+0:30/0:15r TT', 'Devour', 'Devour', 'Rower', '2.8km', '0:10:30', '0:01:30', '198'
